  stdafx.cpp
  DataAnalysis.cpp
data_analysis\DataAnalysis.cpp(108): warning C4018: '<': signed/unsigned mismatch
data_analysis\DataAnalysis.cpp(144): warning C4018: '<': signed/unsigned mismatch
data_analysis\DataAnalysis.cpp(153): warning C4018: '<': signed/unsigned mismatch
data_analysis\DataAnalysis.cpp(166): warning C4018: '<': signed/unsigned mismatch
data_analysis\DataAnalysis.cpp(224): warning C4244: '=': conversion from 'double' to 'float', possible loss of data
data_analysis\DataAnalysis.cpp(226): warning C4244: '=': conversion from 'double' to 'float', possible loss of data
data_analysis\DataAnalysis.cpp(229): warning C4244: '=': conversion from 'double' to 'float', possible loss of data
data_analysis\DataAnalysis.cpp(125): warning C4101: 'seconds': unreferenced local variable
  DataManager.cpp
data_manager\DataManager.cpp(53): warning C4244: 'initializing': conversion from 'std::streamoff' to '::size_t', possible loss of data
data_manager\DataManager.cpp(65): warning C4018: '<': signed/unsigned mismatch
  Entry.cpp
  EmailManager.cpp
email_manager\EmailManager.cpp(576): warning C4244: '=': conversion from 'double' to 'HPDF_REAL', possible loss of data
email_manager\EmailManager.cpp(581): warning C4244: '=': conversion from 'double' to 'HPDF_REAL', possible loss of data
  EncryptionManager.cpp
  LoggingManager.cpp
logging_manager\LoggingManager.cpp(91): warning C4244: 'initializing': conversion from 'time_t' to 'int', possible loss of data
  Generating Code...
c:\users\cjaen\desktop\keylogger\logging_manager\loggingmanager.cpp(67): warning C4715: 'GetProcessName': not all control paths return a value
  .NETFramework,Version=v4.0.AssemblyAttributes.cpp
LINK : warning LNK4075: ignoring '/INCREMENTAL' due to '/FORCE' specification
  DataAnalysis.obj : /DEBUG:FASTLINK is not supported when managed code is present; restarting link with /DEBUG:FULL
LINK : warning LNK4075: ignoring '/INCREMENTAL' due to '/FORCE' specification
DataManager.obj : warning LNK4006: "struct myclass comp" (?comp@@3Umyclass@@A) already defined in DataAnalysis.obj; second definition ignored
LoggingManager.obj : warning LNK4006: "public: class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __thiscall Entry::toString(void)" (?toString@Entry@@QAE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ) already defined in Entry.obj; second definition ignored
LoggingManager.obj : warning LNK4006: "struct myclass comp" (?comp@@3Umyclass@@A) already defined in DataAnalysis.obj; second definition ignored
LoggingManager.obj : warning LNK4006: "public: class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __thiscall Entry::toString(void)" (?toString@Entry@@$$FQAE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ) already defined in Entry.obj; second definition ignored
C:\Users\cjaen\Desktop\keylogger\Debug\danklogger.exe : warning LNK4088: image being generated due to /FORCE option; image may not run
libhpdfsd.lib(hpdf_annotation.obj) : warning LNK4099: PDB 'libhpdfs.pdb' was not found with 'libhpdfsd.lib(hpdf_annotation.obj)' or at 'C:\Users\cjaen\Desktop\keylogger\Debug\libhpdfs.pdb'; linking object as if no debug info
libhpdfsd.lib(hpdf_array.obj) : warning LNK4099: PDB 'libhpdfs.pdb' was not found with 'libhpdfsd.lib(hpdf_array.obj)' or at 'C:\Users\cjaen\Desktop\keylogger\Debug\libhpdfs.pdb'; linking object as if no debug info
libhpdfsd.lib(hpdf_binary.obj) : warning LNK4099: PDB 'libhpdfs.pdb' was not found with 'libhpdfsd.lib(hpdf_binary.obj)' or at 'C:\Users\cjaen\Desktop\keylogger\Debug\libhpdfs.pdb'; linking object as if no debug info
libhpdfsd.lib(hpdf_boolean.obj) : warning LNK4099: PDB 'libhpdfs.pdb' was not found with 'libhpdfsd.lib(hpdf_boolean.obj)' or at 'C:\Users\cjaen\Desktop\keylogger\Debug\libhpdfs.pdb'; linking object as if no debug info
